fold,task,model,scope,decile,observations,mean_prediction,mean_actual
3,regression,linear,expanded,6,43195,3.597663606275155e-6,2.763236685093193e-6
3,regression,linear,expanded,7,43195,9.789878669359707e-6,0.000010607213134610928
3,regression,linear,expanded,8,43195,0.000016889979073444362,0.000019405368028201364
3,regression,linear,expanded,9,43195,0.000026542021406292274,0.000029832625103682763
3,regression,linear,expanded,10,43195,0.000051861473081489236,0.000050175194232322364
3,regression,ridge,baseline,1,43196,-0.00003300412084473688,-0.00003760795914247108
3,regression,ridge,baseline,2,43195,-0.00001686516237102052,-0.00001679958088158478
3,regression,ridge,baseline,3,43195,-0.000012253976804412151,-9.864603738450447e-6
3,regression,ridge,baseline,4,43195,-6.6779964831274305e-6,-5.683181319402248e-6
3,regression,ridge,baseline,5,43195,-1.491527653782099e-6,-1.0160734761679861e-6
3,regression,ridge,baseline,6,43195,3.0082557128159777e-6,5.394061849589977e-7
3,regression,ridge,baseline,7,43195,7.745198368439421e-6,6.1450491349490845e-6
3,regression,ridge,baseline,8,43195,0.000013505733728616224,0.000010817453530805322
3,regression,ridge,baseline,9,43195,0.000018910062794073117,0.000017265623607700128
3,regression,ridge,baseline,10,43195,0.000036000532577976716,0.00003225414080459284
3,regression,ridge,expanded,1,43196,-0.000050833546531903954,-0.000051805589029244714
3,regression,ridge,expanded,2,43195,-0.000024949906508483605,-0.00003196163218145248
3,regression,ridge,expanded,3,43195,-0.00001568782407039613,-0.000018645089065910133
3,regression,ridge,expanded,4,43195,-8.686907239471441e-6,-0.000010082834588925356
3,regression,ridge,expanded,5,43195,-2.4655923957597528e-6,-4.228244699248239e-6
3,regression,ridge,expanded,6,43195,3.597685333100168e-6,2.753592457775759e-6
3,regression,ridge,expanded,7,43195,9.789915707203896e-6,0.000010607213134610928
3,regression,ridge,expanded,8,43195,0.000016890019882579747,0.000019424687217298813
3,regression,ridge,expanded,9,43195,0.00002654201042307348,0.000029813305914585314
3,regression,ridge,expanded,10,43195,0.00005186142196116718,0.000050175194232322364
3,classification,logistic,baseline,1,43196,0.3109094310732361,0.290003704046671
3,classification,logistic,baseline,2,43195,0.3255875773504329,0.2979280009260331
3,classification,logistic,baseline,3,43195,0.3400119281624573,0.3166338696608404
3,classification,logistic,baseline,4,43195,0.35706174193570084,0.34473897441833545
3,classification,logistic,baseline,5,43195,0.3778382633327943,0.36717212640351893
3,classification,logistic,baseline,6,43195,0.4010876862871446,0.3866419724505151
3,classification,logistic,baseline,7,43195,0.42235809447612294,0.3939807848130571
3,classification,logistic,baseline,8,43195,0.43948123560299274,0.43546706794767914
3,classification,logistic,baseline,9,43195,0.46540907182629687,0.5061233939113323
3,classification,logistic,baseline,10,43195,0.5438655685831979,0.5142030327584212
3,classification,logistic,expanded,1,43196,0.2444437492614866,0.21571441800166682
3,classification,logistic,expanded,2,43195,0.29019034568402075,0.26581780298645674
3,classification,logistic,expanded,3,43195,0.3190293108488452,0.29947910637805303
3,classification,logistic,expanded,4,43195,0.3452089193853941,0.3266581780298646
3,classification,logistic,expanded,5,43195,0.37090302930813207,0.3584905660377358
3,classification,logistic,expanded,6,43195,0.39743795848368485,0.3860400509318208
3,classification,logistic,expanded,7,43195,0.4261864164069614,0.4200717675656905
3,classification,logistic,expanded,8,43195,0.45960256138816175,0.4681097349230235
3,classification,logistic,expanded,9,43195,0.5035003771611509,0.5279314735501794
3,classification,logistic,expanded,10,43195,0.5916042005646261,0.5845815487903693
4,regression,linear,baseline,1,43196,-0.000033934225648734185,-0.000032116548942867015
4,regression,linear,baseline,2,43195,-0.000018299762675248994,-0.000019738801758334392
4,regression,linear,baseline,3,43195,-0.000013545447035238496,-0.000011907890408942981
4,regression,linear,baseline,4,43195,-7.587361980928044e-6,-6.996235555412158e-6
4,regression,linear,baseline,5,43195,-2.098271856908875e-6,-3.2718880457014857e-6
4,regression,linear,baseline,6,43195,2.279794160856671e-6,1.7102241671463686e-6
4,regression,linear,baseline,7,43195,7.3778155264271415e-6,8.307973623593225e-6
4,regression,linear,baseline,8,43195,0.000013659466749316696,0.000012644069336139152
4,regression,linear,baseline,9,43195,0.000019759080234110075,0.000021913120636122238
4,regression,linear,baseline,10,43195,0.00003751840167268498,0.000029281145056796927
4,regression,linear,expanded,1,43196,-0.00005303719488056636,-0.00005157834936483918
4,regression,linear,expanded,2,43195,-0.000028435019631906816,-0.000035686284421676244
4,regression,linear,expanded,3,43195,-0.00001799466188587404,-0.0000221024345402018
4,regression,linear,expanded,4,43195,-0.00001032019211013639,-0.000012511155138937757
4,regression,linear,expanded,5,43195,-3.599255945723651e-6,-3.709643058432802e-6
4,regression,linear,expanded,6,43195,2.853309239723931e-6,4.861259043818344e-6
4,regression,linear,expanded,7,43195,9.638116931036886e-6,0.00001244564485088944
4,regression,linear,expanded,8,43195,0.000017485771978026456,0.00002150218609491058
4,regression,linear,expanded,9,43195,0.00002811681259835804,0.000036575333872125565
4,regression,linear,expanded,10,43195,0.00005186466239475227,0.000050029061327670906
4,regression,ridge,baseline,1,43196,-0.00003393421536896148,-0.000032116548942867015
4,regression,ridge,baseline,2,43195,-0.000018299758249030044,-0.000019738801758334392
4,regression,ridge,baseline,3,43195,-0.000013545443607081666,-0.000011907890408942981
4,regression,ridge,baseline,4,43195,-7.587360274888111e-6,-6.996235555412158e-6
4,regression,ridge,baseline,5,43195,-2.098272052373904e-6,-3.2718880457014857e-6
4,regression,ridge,baseline,6,43195,2.279792739539885e-6,1.7102241671463686e-6
4,regression,ridge,baseline,7,43195,7.3778130587128575e-6,8.307973623593225e-6
4,regression,ridge,baseline,8,43195,0.000013659462944245753,0.000012644069336139152
4,regression,ridge,baseline,9,43195,0.00001975907481295983,0.000021913120636122238
4,regression,ridge,baseline,10,43195,0.00003751839014606564,0.000029281145056796927
4,regression,ridge,expanded,1,43196,-0.000053037177865009695,-0.00005157986421051784
4,regression,ridge,expanded,2,43195,-0.000028434973573528825,-0.00003568476954092766
4,regression,ridge,expanded,3,43195,-0.00001799465728284396,-0.000022094560856795772
4,regression,ridge,expanded,4,43195,-0.000010320197455061238,-0.000012527258213051129
4,regression,ridge,expanded,5,43195,-3.5992584439584666e-6,-3.7035054115034963e-6
4,regression,ridge,expanded,6,43195,2.853314622580296e-6,4.86335078759638e-6
4,regression,ridge,expanded,7,43195,9.638117411932487e-6,0.00001244564485088944
4,regression,ridge,expanded,8,43195,0.000017485752428532064,0.00002150218609491058
4,regression,ridge,expanded,9,43195,0.000028116694498227766,0.00003656997741731599
4,regression,ridge,expanded,10,43195,0.000051864314294726946,0.00005003441778248048
4,classification,logistic,baseline,1,43196,0.3090884748798918,0.31190387998888786
4,classification,logistic,baseline,2,43195,0.32540147688441856,0.32075471698113206
4,classification,logistic,baseline,3,43195,0.3416188539235453,0.34578076166222943
4,classification,logistic,baseline,4,43195,0.3607247209789477,0.38124782960990855
4,classification,logistic,baseline,5,43195,0.38316590691881264,0.40356522745688156
4,classification,logistic,baseline,6,43195,0.40704752096350655,0.42912374117374696
4,classification,logistic,baseline,7,43195,0.42742433639924254,0.4359995369834472
4,classification,logistic,baseline,8,43195,0.44590858041677994,0.4806806343326774
4,classification,logistic,baseline,9,43195,0.47084775991765443,0.5158467415210094
4,classification,logistic,baseline,10,43195,0.5312465795366639,0.5246440560250029
4,classification,logistic,expanded,1,43196,0.24068383662071294,0.23564681914992128
4,classification,logistic,expanded,2,43195,0.2883035478012091,0.29392290774395186
4,classification,logistic,expanded,3,43195,0.318490255656678,0.3282092834818845
4,classification,logistic,expanded,4,43195,0.34532850034647655,0.3619168885287649
4,classification,logistic,expanded,5,43195,0.37148546980991887,0.39092487556430144
4,classification,logistic,expanded,6,43195,0.3984957888473758,0.42379905081606667
4,classification,logistic,expanded,7,43195,0.4278757219114363,0.4638268318092372
4,classification,logistic,expanded,8,43195,0.4613379355412765,0.5004977427943049
4,classification,logistic,expanded,9,43195,0.5038670702039076,0.5548095844426438
4,classification,logistic,expanded,10,43195,0.5818986361208798,0.5959949068179188
