entity,latency_ms,roundtrip_cost_bps,sizing,trades,gross_pnl,cost_pnl,net_pnl,exposure,turnover,annualised_daily_sharpe,annualised_daily_sortino,maximum_drawdown,win_rate,average_win,average_loss,average_holding_seconds,break_even_roundtrip_bps,pnl_concentration_largest_day
ETHUSDT,100,7.0,fixed,191785,9.429643498534636,134.2495,-124.81985650146537,0.5983891899484954,383570.0,-158.56703292219498,-158.56703292219498,-1.0,0.03253121985556743,0.00046266037549968543,-0.0006882734986699142,5.391540111223506,0.4916778422991702,0.06464903391494338
combined,100,7.0,fixed,1294,0.02821332559034017,0.4363315591770472,-0.408118233586707,0.0019035527384497234,1246.6615976487062,-1525.4808346387913,-1525.4808346387913,-0.40811823358670707,0.020865533230293665,0.0000804804578038853,-0.0003238288918290544,5.307972181607419,0.4526220370235602,0.0516599675424453
BTCUSDT,100,10.0,fixed,151952,7.575823155157092,151.95200000000003,-144.37617684484292,0.46338011485995373,303904.0,-71.70372022383906,-71.70372022383906,-1.0,0.003408971254080236,0.00044786482764046,-0.0009549253854851665,5.269564326089818,0.49856686026884095,0.07651515097097313
ETHUSDT,100,10.0,fixed,191785,9.429643498534636,191.78500000000005,-182.35535650146545,0.5983891899484954,383570.0,-161.8491628468341,-161.8491628468341,-1.0,0.013316995594024559,0.0006521507461210836,-0.0009724672464187088,5.391540111223506,0.4916778422991702,0.0640786394236119
combined,100,10.0,fixed,888,0.01854507391847406,0.4283419130684183,-0.40979683914994425,0.001304335978941848,856.6838261368364,-1189.7740883550375,-1189.7740883550375,-0.40979683914994425,0.007882882882882882,0.00004003038766084377,-0.0004654677092662544,5.289521454954954,0.43295025195239045,0.05113196217615008
BTCUSDT,100,20.0,fixed,151952,7.575823155157092,303.90400000000005,-296.328176844843,0.46338011485995373,303904.0,-71.42953079896884,-71.42953079896884,-1.0,0.00038828050963462147,0.000827994448774961,-0.001951222429719083,5.269564326089818,0.49856686026884095,0.07611144241509067
ETHUSDT,100,20.0,fixed,191785,9.429643498534636,383.5700000000001,-374.1403565014655,0.5983891899484954,383570.0,-165.55954202340644,-165.55954202340644,-1.0,0.0022681648721224286,0.0013289893039921776,-0.0019582883033640035,5.391540111223506,0.4916778422991702,0.06344432703861133
combined,100,20.0,fixed,445,0.012377513105552587,0.43298332863390243,-0.42060581552834986,0.0006560286381039461,432.9833286339024,-673.653896955801,-673.653896955801,-0.42060581552834986,0.0,0.0,-0.0009451816079288761,5.264826408988763,0.571731625076866,0.052144602618743895
BTCUSDT,500,0.0,fixed,148380,5.917197055646958,0.0,5.917197055646958,0.4526932779560185,296760.0,66.87000580589194,0.0,0.0,0.5603922361504245,0.0001491609644897923,-0.00015212117515289692,5.271963770777733,0.3987867000705593,0.07312701872510094
ETHUSDT,500,0.0,fixed,185838,6.346479111139041,0.0,6.346479111139041,0.5801046110873843,371676.0,104.46960025183155,0.0,0.0,0.5397173882628956,0.0002482815363164733,-0.0002550184017014353,5.394057017181631,0.3415059950676955,0.06772337209398183
combined,500,0.0,fixed,334218,6.053678365450405,0.0,6.053678365450405,0.49320106393751945,320577.98557480954,98.9833692800623,0.0,0.0,0.5488962294071534,0.00008927136212239027,-0.00008945694752349855,5.339852288826454,0.3776727434727566,0.07132594745051864
BTCUSDT,500,2.0,fixed,148380,5.917197055646958,29.67600000000001,-23.758802944353043,0.4526932779560185,296760.0,-68.60422033850669,-68.60422033850669,-1.0,0.14071303410163094,0.00017596397217787478,-0.00021515717303750476,5.271963770777733,0.3987867000705593,0.08304252196292407
ETHUSDT,500,2.0,fixed,185838,6.346479111139041,37.167600000000014,-30.82112088886096,0.5801046110873843,371676.0,-115.72891122194422,-115.72891122194422,-1.0,0.22332353985729506,0.00027559260239177737,-0.0002927804918615211,5.394057017181631,0.3415059950676955,0.07149574620297271
combined,500,2.0,fixed,5248,0.10026194678486763,0.5026601933618564,-0.40239824657698886,0.007769143869829692,5026.601933618565,-3661.8122405486297,-3661.8122405486297,-0.40239824657698875,0.18940548780487804,0.0000836261823273661,-0.00011413320917028461,5.370733433307927,0.39892535000355905,0.05067167654557258
